Jeg er i fængslet.	I'm at the prison.
Jeg har en ordbog.	I have a dictionary.
Jeg læser på et universitet i Boston.	I study at a university in Boston.
Hun taler flydende engelsk.	She is a fluent speaker of English.
Billedets alder er endnu ikke blevet fastslået.	The picture's age has not yet been determined.
Han er en af mine gamle venner.	He is one of my old friends.
Jeg tager af sted i overmorgen.	I'm leaving the day after tomorrow.
Det har ingen værdi for dem.	It's of no value to them.
Syede du det i hånden?	Did you sew this by hand?
Af og til går tingene ikke som planlagt.	Occasionally, things don't go as planned.
Jeg har et problem med det.	I have a problem with that.
Rom havde flere sindssyge kejsere.	Rome had several mad emperors.
Hun var i gang med at stryge sin kjole.	She was ironing her dress.
Hun ønsker at være en berømthed.	She wants to be a celebrity.
Tyven blev taget på fersk gerning.	The thief was caught in the act.
Jeg har glemt dit nummer.	I forgot your number.
Jeg er vokset op i en mineby.	I grew up in a mining town.
Kirsebærtræerne blomstrer.	The cherry trees are in bloom.
Benzinpriserne er faldet.	Gas prices have dropped.
Han lærte mig at skrive.	He taught me how to write.
Jeg gad vide hvor Tom har gemt sin nøgle.	I wonder where Tom hid his key.
Lad mig tænke.	Let me think.
Hvor er mælke-teen?	Where is the milk tea?
Det frarådes at bruge denne funktion.	This feature is deprecated. We advise you not to use it.
Det her er et stort hus.	This is a big house.
Mary er min svigermor.	Mary is my mother-in-law.
Jeg vil tage en taxi.	I'll go by taxi.
Tom tabte underkæben.	Tom dropped his jaw.
Jeg er ikke en atlet.	I am not an athlete.
Den lærde mand ved at der er ting han ikke ved.	The learned man knows that there are things which he doesn't know.
Noget gik galt.	Something went wrong.
De var velhavende.	They were wealthy.
Alt går op i en højere enhed.	Everything is coming together.
Det er ikke sandt!	It's not true!
Hun går ind i skoven midt om natten, og nu foregiver hun at være bange for mørke.	She goes to the woods in the middle of the night and now, she pretends to be scared of the dark.
Jeg ved at Tom elsker Mary.	I know Tom loves Mary.
Hver dag på vej til skole ser jeg almindeligvis mange hunde og katte.	On my way to school each day, I generally see many dogs and cats.
I en anden situation ville jeg ikke have ringet til dig så sent, men det er vigtigt.	In another situation, I would never have called you so late, but it's urgent.
Også jeg er lærer.	I, too, am a teacher.
Begge mine forældre er algeriske.	Both my parents are Algerian.
Vi var begge trætte.	Both of us were tired.
Gør dig ingen bekymringer.	Don't worry about it!
Min kæreste er canadisk.	My girlfriend is Canadian.
De må være døde.	They must be dead.
Man kan tro på ham.	You can believe him.
Tom sagde at han ville dræbe Mary.	Tom said he was going to kill Mary.
Jeg tror Delbert er gal.	I think that Delbert is crazy.
Jeg ryger cigaretter.	I smoke cigarettes.
Hr. Jackson er en meget god lærer.	Mr. Jackson is a very good teacher.
Kunne jeg få dit mobilnummer?	Could you tell me your mobile number please?
Hvorfor løb han væk?	Why did he run away?
Jeg stjal det ikke. Jeg lånte det kun.	I didn't steal it. I only borrowed it.
Når man rækker Fanden en lillefinger, så tager han hele armen.	Give someone an inch, and they will take a mile.
Jeg føler mig gammel.	I feel old.
Der er tørke i Californien.	There's a drought in California.
Denne æblejuice er 100% ren.	This apple juice is 100% pure.
Din datter er en narkoman.	Your daughter is a drug addict.
Himlen er klar i dag.	The sky's clear today.
Du er syg!	You're sick.
Tom fortalte mig, at han ikke ønsker det.	Tom told me he doesn't want that.
Babyen har formentlig slugt sutten.	The baby has presumably swallowed the pacifier.
Hvem har mon givet Tom det blå øje?	I wonder who gave Tom that black eye.
Jeg har noget du skal se.	I've got something to show you.
Den storbarmede blondine der, er dum som en dør.	That big busted blonde is as dumb as a rock.
Jeg dræbte dem begge.	I killed both of them.
Er du en vampyr?	Are you a vampire?
Regningen, tak.	The bill, please.
Kan hun cykle?	Can she ride a bicycle?
Hun ødelægger sit tøj.	She's destroying her clothes.
Nogle æbler faldt ned fra træet.	Some apples fell down from the tree.
Har du en mønt?	Do you have a coin?
Her er et par interessante fakta.	Here are a few interesting facts.
Hvad er der overgået Tom?	What happened to Tom?
Hvis du ikke opfører dig ordentligt, kommer julemanden ikke.	If you don't behave, Santa won't come.
Hun købte et ur til mig.	She bought me a watch.
Jeg kørte dem hjem.	I drove them home.
Lad os lægge kortene på bordet.	Let's put our cards on the table.
Jeg sad ved siden af Tom.	I sat next to Tom.
Mere te?	More tea?
Jeg spiser nudler.	I am eating noodles.
Man siger at kærligheden er blind.	They say love is blind.
Tom mødte Mary i Australien.	Tom met Mary in Australia.
Den bygning er vores skole.	That building is our school.
Katten sover.	The cat is sleeping.
Åbn aldrig døren på en bil der er i bevægelse.	Never open the door of a car that is in motion.
"Den gamle mand og havet" er en roman af Hemingway.	"The Old Man and the Sea" is a novel by Hemingway.
Er Tom her?	Is Tom here?
Jeg formoder at du ikke var der.	I guess you weren't there.
Hvis bare jeg havde lavet mine lektier!	If only I'd done my homework!
Tom kører på arbejde på motorcykel.	Tom goes to work by motorcycle.
Det er et godt spørgsmål.	That's a good question.
Hvem kan udføre dette arbejde?	Who can do this work?
Hvad ellers har du gang i?	What else have you got going on?
Lån mig din cykel.	Lend me your bicycle.
Jeg venter indtil 14:30.	I'll wait till 2:30.
Jeg kan ikke vente på dig.	I can't wait for you.
Luk bogen.	Close the book.
Tom og Mary er gode børn.	Tom and Mary are good kids.
Hvorfor fyrede de Tom?	Why did they fire Tom?
Hav ikke ondt af mig.	Don't feel sorry for me.
En hval er et pattedyr.	A whale is a mammal.
Han rejste sig og gik.	He got up and left.
Tom besvimede.	Tom passed out.
Din mor må have været smuk, da hun var ung.	Your mother must have been beautiful when she was young.
Du skal skifte tog i Shibuya.	You have to change trains at Shibuya.
Jeg svømmer næsten hver dag.	I swim almost every day.
Han købte den ikke.	He didn't buy it.
Tom har dræbt Mary.	Tom killed Mary.
Tom dræbte Mary.	Tom killed Mary.
Jeg kan bedre lide svag kaffe end stærk.	I like weak coffee better than strong.
Jeg stoppede for at ryge.	I stopped to smoke.
Kan du se egernene?	Can you see the squirrels?
Jeg træner.	I work out.
Tom pyntede på regnskabet.	Tom cooked the books.
Han er lige kommet.	He has just arrived.
Det var en god historie.	It was a nice story.
Denne kaffebar er hyggelig.	This coffee shop is cozy.
Jeg ønsker ikke at høre nogen undskyldninger.	I don't want to hear any excuses.
Jeg er så træt at jeg næsten ikke kan gå.	I am so tired that I can hardly walk.
De arbejdede som bier.	They worked like bees.
Måske får du ikke nok søvn.	Maybe you're not getting enough sleep.
Det er vores skyld.	That's our fault.
Kan du forstå spansk?	Do you understand Spanish?
Tom er vores ældste søn.	Tom is our oldest son.
Vandet frøs.	The water was freezing.
Den unge mand er læge.	The young man is a doctor.
Tom er et vidunderbarn.	Tom is a child prodigy.
Jeg spekulerer hele tiden på hvad der er sket med ham.	I always wonder what happened to him.
Han kan ikke engang skrive sit eget navn.	He can't even write his own name.
En af karaktererne i romanen udtænker en halvfærdig plan om at røve en bank.	One of the characters in the novel dreams up a half-baked plan for robbing a bank.
Skal vi tage en drink på vej hjem?	Want to grab a drink on the way home?
Han havde til hensigt at gå ind i politik ved en gunstig lejlighed.	He intended to enter the political world at a favorable opportunity.
Det nye hus er her.	The new house is here.
Vi angriber ved solopgang.	We'll attack at sunrise.
Så stor du er!	How big you are!
Jeg slår græsplænen i morgen, medmindre det regner.	I'll mow the lawn tomorrow, unless it rains.
Kan jeg friste dig med endnu et stykke kage?	Can I tempt you to try another piece of cake?
Tillykke med fødselsdagen!	Happy birthday!
Firmwareopdateringen tilføjer fuld tegnsætunderstøttelse af meddelelser i firs sprog.	The firmware update adds full character support for notifications in eighty languages.
Jeg er nødt til at vide hvorfor.	I have to know why.
Du må bestemme dig og det straks.	You must make up your mind, and that at once.
Han fandt sin herre.	He found his master.
Det kommer ikke til at funke!	It won't fly!
Jeg savner bylivets liv og røre.	I miss the hustle and bustle of city life.
Der var ikke en sky på himlen.	There wasn't a cloud in the sky.
Tom ønskede at studere i Boston.	Tom wanted to study in Boston.
Jeg elsker poesi.	I love poetry.
Den ene side af en mønt kaldes 'krone' og den side kaldes 'plat'.	One side of a coin is called 'heads' and the other side is called 'tails'.
Du kan ikke bevise noget.	You can't prove a thing.
Alle studerende i vores college kan bruge computeren.	Any student in our college can use the computer.
Jeg spiste de røde æbler.	I ate the red apples.
Vi fandt sengene ganske komfortable.	We found the beds quite comfortable.
Kan du ikke lide æbler?	Don't you like apples?
Jeg tror du kan hjælpe os.	I think you can help us.
Jeg kan ikke ryste mindet om dig af mig, og det begynder at gøre ondt.	I can't shake the memory of you and it is starting to cause me agony.
Hvad tid ankommer I i morgen?	What time will you arrive tomorrow?
Katten vågnede op.	The cat woke up.
Marys samleverske blev arresteret for at køre i beruset tilstand.	Mary's common-law wife was arrested for driving while intoxicated.
Alle nedfaldsæblerne spises af svinene.	All the apples that fall are eaten by the pigs.
Tom rakte ud efter kontakten og slukkede lyset.	Tom reached for the light switch and turned it off.
I dag er det den 20. oktober.	Today is October 20th.
Dette æble smager meget surt.	This apple tastes very sour.
Bilen kørte ind i muren.	The car crashed into the wall.
Jeg har flere bøger, end jeg kan læse.	I've got more books than I can read.
Vil Algeriet blive et vigtigt turistmål?	Will Algeria become a major tourist destination?
Frankrig er verdensmesteren.	France is the world champion.
Grækenland er et smukt land.	Greece is a beautiful country.
Min bedste ven er Tom.	My best friend is Tom.
Modstand er nyttesløs.	Resistance is futile.
Hold dit værelse rent.	Keep your room clean.
Hvis ikke du har lyst til at holde en tale, behøver du ikke.	If you don't want to give a speech, you don't have to.
Jeg spildte kaffe på din dug.	I spilled coffee on your tablecloth.
Jeg svømmer en gang ugentligt.	I swim once a week.
Thomas Edison har opfundet glødepæren.	Thomas Edison invented the electric lightbulb.
At bruge tid sammen med sin familie bør have første prioritet.	Spending time with your family should be your priority.
Tom gik bananas.	Tom went bananas.
Min chef har lige besluttet at mit arbejde ikke kan bruges.	My boss just decided my work was no good.
Han døde.	He breathed his last breath.
Hvor er toilettet?	Where is the toilet?
Jeg sælger tøj på nettet.	I sell clothing online.
Tom og Mary tog til Boston hver sommer da de var børn.	Tom and Mary used to go to Boston every summer when they were kids.
Hvor er jeres kufferter?	Where are your suitcases?
Hvordan har du det i dag?	How are you doing today?
Kikærter er hovedingrediensen i hummus.	Chickpeas are the main ingredient in hummus.
Vil du være så venlig at række mig saltet?	Please pass me the salt.
Jeg går selv med designertøj.	I wear designer clothes myself.
Jeg er for doven.	I am too lazy.
Der er ikke nok mælk.	There is not enough milk.
Dette er et vanskeligt spørgsmål.	This is a difficult question.
Der skal ikke hastværk til andet end til at fange lopper.	Do nothing in haste, except catching fleas.
Da jeg var i din alder, kunne jeg allerede binde mine snørebånd.	At your age I already knew how to tie my shoes.
Jeg begyndte at kaste op.	I started to vomit.
Han gik rundt og udbredte løgne om hende.	He went around spreading lies about her.
Jeg er meget utålmodig.	I'm very impatient.
Lægen sagde: "Der er ikke noget der er værre for dit helbred end tobak."	The doctor said, "There's nothing worse for your health than tobacco."
Sommeren er forbi.	The summer is over.
Tom ser fjernsyn.	Tom is watching TV.
Jeg kan lide det du har gjort ved dit hår.	I like what you did with your hair.
Jeg elsker dinosaurusser.	I love dinosaurs.
Der er noget galt her.	There's something wrong here.
Layla er en hættemåge.	Layla is a hijabi.
Han faldt straks i søvn.	He fell asleep right away.
Den lille Kay er rigtignok hos snedronningen og finder alt der efter sin lyst og tanke og tror, det er den bedste del af verden, men det kommer af, at han har fået en glassplint i hjertet og et lille glaskorn i øjet; de må først ud, ellers bliver han aldrig til menneske, og snedronningen vil beholde magten over ham!	Little Kay is really with the Snow Queen, but he finds everything there so much to his taste and his liking, that he believes it is the finest place in the world; but this is because he has a piece of broken glass in his heart, and a little piece of glass in his eye. These must be taken out, or he will never be a human being again, and the Snow Queen will retain her power over him.
Jeg vil bare sige hej.	I just wanted to say hello.
Tom har et svagt hjerte.	Tom has a weak heart.
Tom lånte Mary alle de penge han havde på sig.	Tom lent Mary all the money he had on him.
Er Tom Jackson dit rigtige navn?	Is Tom Jackson your real name?
Gør det til en delt mappe.	Make that a shared folder.
Jeg vil ikke finde mig i det her.	I'm not going to put up with this.
Tom arbejdede meget hårdere end de andre.	Tom worked much harder than anyone else.
Hvad har inspireret dig til at skrive denne sang?	What inspired you to write this song?
En dårlig håndværker giver værktøjet skylden.	A bad tradesman blames his tools.
Jeg er lige stået op.	I just got up.
Min søn interesserede sig tidligt for politik.	My son took an early interest in politics.
Jeg ved at det her er svært.	I know this is hard.
Regnen slår mod ruderne.	The rain is beating against the windows.
Som en gør-det-selv-mand, lavede han et hundehus.	As a do-it-yourselfer, he made a doghouse.
Jeg har det ikke godt i dag.	I'm not feeling well today.
Han vil lave kaffe.	He'll make coffee.
Jeg kan ikke.	I can't.
Pigen har en mus.	The girl has a mouse.
Jeg er elev, men det er han ikke.	I am a student, but he isn't.
Nogle af de her æbler er dårlige.	Some of these apples are bad.
Jeg spiser ikke æbleskroget.	I don't eat the apple core.
Da jeg kom hjem, opdagede jeg at jeg havde mistet min tegnebog.	When I got home, I noticed that I had lost my wallet.
Han er her for at udspionere os.	He's here to spy on us.
Sejr er usandsynligt, men ikke umuligt.	Victory is unlikely but not impossible.
Jeg kan ikke synge.	I can't sing.
Jeg tror det er alt jeg har at sige.	I believe that's all I have to say.
Kan du huske os?	Do you remember us?
Hun er gladest når hun er hjemme.	She is happiest when she is at home.
Siderne med æselører gjorde bogen mindre værdifuld.	The dog-eared pages made the book less valuable.
Han vendte tilbage fra Amerika.	He came back from America.
Tom er meddeler for forbundspolitiet.	Tom is an informant for the FBI.
Tom har gået i katolsk skole.	Tom went to a Catholic school.
Hvor meget fik du i fratrædelsesgodtgørelse?	How much severance pay did you get?
Jeg elsker dig, og jeg ønsker ikke at der skal ske dig noget.	I love you and I don't want anything bad to happen to you.
Tom er gået bort.	Tom has passed away.
Tom er skruppelløs.	Tom's unscrupulous.
Hun er en vidunderlig hustru som gav mig to smukke børn.	She is a wonderful wife who gave me two beautiful children.
God påske!	Happy Easter!
Tom har et pas.	Tom has a passport.
Er det allerede jul igen?	Is it Christmas again already?
På dage med fint vejr tager min bedstefar en spadseretur.	My grandfather goes for a walk on fine days.
Jeg advarer dig mod at gøre det igen, ellers får du en bøde.	I warn you against doing that again, or you'll be fined.
De må være politibetjente.	They must be cops.
Enhver væg i hans lejlighed er dækket af bøger fra gulv til loft.	Every wall of his apartment is covered from floor to ceiling with books.
Tag ikke tingene så alvorligt.	Don't take things so seriously.
Du har måske hørt om mig.	You might have heard of me.
Tom er afhængig af Coca-Cola, men Pepsi kan han ikke lide.	Tom is addicted to Coke, but he doesn't like Pepsi.
Eulers identitet er virkelig bemærkelsesværdig.	Euler's identity really is remarkable.
Vincent Van Gogh slog sig selv ihjel i 1890.	Vincent van Gogh killed himself in 1890.
I går var det fredag, og i overmorgen er det mandag.	Yesterday was Friday and the day after tomorrow is Monday.
Du må ikke være rigtig klog.	You must be crazy.
Hold fingrene fra hende.	Keep your hands off her.
Dette er en julegave fra ham.	This is a Christmas present from him.
Jeg står ved min tidligere erklæring.	I stand by my previous statement.
Intet er helligt.	Nothing's sacred.
Hvor mange gæster har du inviteret?	How many guests did you invite?
Jeg har reddet dig.	I saved you.
Der er intet at frygte.	There is nothing to fear.
Min mening er den, der tæller!	My opinion is the one that counts!
Serveren var nede.	The server was down.
Der var mange rådne æbler i kurven.	There were many rotten apples in the basket.
Jeg så tv i går aftes.	I watched TV last night.
Tom undgår Mary.	Tom is avoiding Mary.
Du smiler aldrig.	You never smile.
Jeg har mange plader.	I have many discs.
Du har forspildt din chance.	You've missed the boat.
Han følte sig som i en drøm.	He felt as if he were in a dream.
Hun skulle betale for bogen.	She has to pay for the book.
Selv hvis jeg havde ønsket at holde op så kunne jeg ikke.	Even if I had wished to stop, I couldn't.
Branden spredte sig meget hurtigt.	The fire spread very quickly.
Du har ret.	You're right.
Jeg er liderlig.	I am horny.
Den sorte kat løber hurtigt.	The black cat is running fast.
Jeg så flyet ramme bygningen.	I saw the plane hit the building.
Hvor meget kostede den?	How much did it cost?
Vi er fra Tyskland.	We are from Germany.
Er dette dit skab?	Is this your locker?
Tom var godt skåret for tungebåndet.	Tom had the gift of the gab.
"Nøglen," tilføjede han, "er i låsen."	"The key," he added, "is in the lock."
Alkohol løser ingen problemer.	Alcohol doesn't solve any problems.
Er mænd, der ikke drikker, stadigvæk mænd?	Are men who don't drink still men?
Her er min nøgle.	Here is my key.
Klokken elleve passer mig fint.	Eleven o'clock is good for me.
Mary har givet sin cykel olie.	Mary oiled her bicycle.
Tom har været på TV hver aften i tredive år.	Tom has been on TV every night for thirty years.
Det engelske hold slog det brasilianske hold i den internationale fodboldturnering.	The English team beat the Brazilian team in the international football tournament.
Sally gav ham en julegave.	Sally gave him a Christmas present.
Tom vil bare have fred og ro.	Tom only wants some peace and quiet.
Jeg trænger til at slappe af.	I need to take it easy.
Jeg ønsker dig held og lykke.	I wish you well.
Han er fuld af nye ideer.	He is full of new ideas.
Stoler I ikke på ham?	Don't you guys trust him?
Jeg var blevet valgt til at synge nationalsangen.	I was chosen to sing the national anthem.
Jeg er taget til Canada.	I went to Canada.
Mellem dig og mig, han er ret dum.	Between you and me, he is rather stupid.
Jeg kom.	I came.
Tak, men jeg kigger bare.	Thank you, I'm just looking.
Hvor mange sprog kan din kone tale?	How many languages does your wife speak?
Jeg vil have dig til at tage en beslutning.	I want you to make a decision.
Hvem er din yndlingsskuespiller?	Who is your favorite actor?
Det er ikke blod, det er tomatpure.	It's not blood, it's tomato paste.
Spørg hende hvornår han kommer tilbage.	Ask her when he will come back.
Jeg er ikke analfabet.	I'm not illiterate.
Jeg har lavet en æblekage til dessert.	I made an apple pie for dessert.
Jeg gav hvert barn tre stykker slik.	I gave each child three pieces of candy.
Politiassistent Dan Anderson kunne ikke forbinde Linda til forbrydelsen.	Lieutenant Dan Anderson couldn't link Linda to the crime.
Stig ind i varevognen.	Get in the van.
Hun havde en sort hat på.	She was wearing a black hat.
Hun bruger så mange penge som hun tjener.	She spends as much money as she earns.
Han gik ud af værelset.	He went out of the room.
Du har ikke feber.	You do not have a fever.
Jeg håber det har hjulpet.	I hope that helped.
Aber elsker bananer.	Monkeys love bananas.
Har du noget varmt at drikke?	Do you have anything hot to drink?
Du bor for langt væk.	You live too far away.
De lærte hende berbisk.	They taught her Berber.
Det var volapyk for mig.	That was all Greek to me.
Jo før man begynder at lære berbisk, desto bedre.	The sooner you start learning Berber, the better.
Politiet anholdt den mistænkte i går.	The police arrested the suspect yesterday.
Han flytter sig hurtigt.	He moves quickly.
Sårede jeg dine følelser?	Did I hurt your feelings?
Jeg har tre gange været i Australien.	I've been to Australia three times.
Hun er mig kær.	She is dear to me.
Papiret er hvidt.	The paper is white.
Mary har den samme kjole på i dag som i går.	Mary is wearing the same dress today as yesterday.
Makemake blev opdaget i marts 2005 og er klassificeret som en dværgplanet. Dens farve er rødbrun, og den har ingen atmosfære.	Makemake was discovered in March 2005 and is classified as a dwarf planet. Its color is reddish-brown, and it has no atmosphere.
Har du syrisk pas?	Do you have a Syrian passport?
Er du i stand til at tale fransk?	Are you able to speak French?
Jeg forstår ikke hvad der foregår her.	I don't understand what's going on here.
Luk døren.	Close the door.
Vi havde en aftale.	We had a deal.
De bor i en lille rønne.	They live in a wretched little house.
Hej!	Hi!
Vi kan se flere og flere svaler.	We can see more and more swallows.
Du var lige ved at ramme mig.	You almost hit me.
Det er alt for galt.	You really shouldn't have.
Huset brænder.	The house is burning.
Jeg tager hatten af for dig!	I take my hat off to you!
Der er noget i vejen.	There is something wrong.
Spørg hvem som helst.	Ask anyone.
Stripperne kan ikke slippe væk.	The strippers can't get away.
Det er værd at læse denne bog.	It's worth your time to read this book.
Mor jer godt i Italien!	Have fun in Italy!
Den tapre ridder reddede den smukke prinsesse fra den onde drage.	The brave knight saved the beautiful princess from the evil dragon.
Vi tog brusebad.	We took showers.
Fransk er ikke mit modersmål.	French isn't my first language.
Jeg gad vide hvad der skete hjemme hos Tom i aftes.	I wonder what happened at Tom's house last night.
Det er værd at læse denne bog.	It is worth your time to read this book.
Det er i dag lørdag den syvende oktober.	Today is Saturday, the seventh of October.
Jeg har brug for en sav.	I need a saw.
I er rigtig gode venner, er I ikke?	You guys are really good friends, aren't you?
Må jeg bruge jeres telefon?	May I use your phone?
I er dovne.	You're lazy.
Vi tager afsted når du er klar.	We'll leave as soon as you are ready.
Jeg har aldrig været i Tyskland.	I have never been to Germany.
Han forsøgte at løse problemet.	He tried solving the problem.
Sami sov hjemme hos sin mor.	Sami slept over at his mother's house.
Jeg tror virkelig at du ville kunne lide Tom.	I really think you'd like Tom.
Det er allerede mørkt.	It's already dark.
Messing er en legering af kobber og zink.	Brass is an alloy of copper and zinc.
Hjælp mig!	Help me!
Tom sagde at han ikke gjorde det.	Tom said that he didn't do it.
Har du svært ved at forstå hvad kvinder eller små børn siger til dig?	Do you have difficulty understanding what women or small children say to you?
Holland lammetæver Spanien.	Netherlands wallop Spain.
Han er ikke kommet.	He did not come.
Alt var brændt til aske.	Everything was burnt to ashes.
Mor satte mig i arbejde imod min vilje.	Mom put me to work against my will.
Græsset trænger til at blive slået.	The grass needs cutting.
Han har en forfærdelig håndskrift.	He's got terrible handwriting.
Jeg har aldrig hørt ham tale engelsk.	I have never heard him speak English.
Dit dumme svin!	You son of a bitch!
Jeg er ansvarlig for hans opførsel.	I am responsible for his conduct.
Blod og vold fascinerer dem.	Blood and violence fascinate them.
Tom var meget uforskammet.	Tom was very rude.
Tom kan ikke huske hvornår han sidst så Mary.	Tom doesn't remember the last time he saw Mary.
Sami banker på Laylas dør.	Sami is knocking on Layla's door.
Tom lejede et par skøjter.	Tom rented a pair of ice skates.
Da følte den sig ganske undseelig og stak hovedet om bag vingerne, den vidste ikke selv hvad!	Then he felt quite ashamed, and hid his head under his wing; for he did not know what to do.
Jeg er så glad for, at du er her!	I'm so happy that you're here!
Det ser ud til at der kommer regn.	It seems that it will rain.
Mount Everest er det højeste bjerg i verden.	Mt. Everest is the highest mountain in the world.
Regeringens ministre vil helt sikkert byde sådanne forslag velkomne.	Government ministers are certain to welcome such proposals.
Jeg malede.	I was painting.
Jeg er fra Rusland.	I am from Russia.
Mary besluttede at stoppe med at ryge.	Mary decided to quit smoking.
Toms hund kan godt lide at blive støvsuget.	Tom's dog enjoys being vacuumed.
Esperanto er en nøgle til fred.	Esperanto is a key to peace.
Så I den?	Did you guys see it?
Monaco er en mikrostat.	Monaco is a microstate.
Jeg kan næsten ikke betale min husleje.	I can barely pay my rent.
Kvinderne kaster sig ikke ligefrem om halsen på mig.	Women aren't exactly throwing themselves at me.
Katten er på bordet.	The cat is on the table.
Tom fortalte Mary at han ville tage til Boston i oktober.	Tom told Mary that he'd go to Boston in October.
Han dækkede bordet med kopper, underkopper, tallerkener og dækketallerkener.	He set the table with cups, saucers, plates and service plates.
1. verdenskrig varede fra 1914 til 1918.	WW1 lasted from 1914 until 1918.
Arbejderne klager over deres arbejdsforhold.	The workers are complaining about their working conditions.
Hvorfor tror du at det er sket?	Why do you think that that happened?
Hvor er toilettet?	Where's the toilet?
Tom fortæller mig ingenting.	Tom doesn't tell me anything.
Tyrkiet erklærer tre måneders undtagelsestilstand.	Turkey has declared a three-month state of emergency.
Han er ikke utilfreds. Han er bare træt.	He's not discontented. He's just tired.
Jeg ville blive overrasket hvis Tom gjorde det.	It would surprise me if Tom does that.
Min ledsager sad, med hånden under hagen, stille et stykke tid, hensunken i sine egne tanker.	My companion sat silent for some time, with his chin upon his hand, lost in thought.
Det har alt i alt kostet 150.000 euro.	It came to a grand total of 150,000 euros.
Den syge var kun skind og ben.	The sick person was only skin and bones.
Hvad ved I?	What do you know?
Notesbogen ligger på bordet.	The notebook is lying on the table.
Hun siger at hun kan lide blomster.	She says she likes flowers.
Jeg har brugt masser af tid på at træne min hund.	I've been spending a lot of time training my dog.
Grunden til at mange sprogstuderende aldrig får lært at tale flydende, er at de hyppigere lader ord følge handling end de lader handling følge ord.	The reason why many language learners never become fluent is that they talk the walk more than they walk the talk.
Det er min hund.	This is my dog.
Jeg spiser en banan.	I am eating a banana.
Tom tjener flere penge end mig.	Tom makes more money than I do.
Denne blomst dufter godt.	This flower smells nice.
Hun barberede sin moustache.	She shaved her mustache.
Tom var for stolt til at indrømme at Mary havde ret, og at han havde taget fejl.	Tom was too proud to admit that Maria was right and that he had made a mistake.
Jeg håber, jeg ikke glemmer mit kamera.	I hope I don't forget my camera.
Tom laver ikke sjov.	Tom isn't joking.
Jeg tror ikke på skæbnen.	I don't believe in fate.
Pludselig begyndte det at regne meget kraftigt.	Suddenly, it started to rain very hard.
Det eneste vi kan gøre, er at vente på at politiet skal komme.	All we can do is wait for the police to arrive.
Jeg er ved at blive kvalt herinde. Åbn venligst vinduerne!	I'm suffocating in here. Please open the windows!
Jeg har købt en bog om dyr.	I bought a book about animals.
Du kan engelsk?	You know English?
Jeg har tandpine.	I've got a toothache.
Hvor kommer du fra?	Where are you from?
Ingen spiser kød her.	No one eats meat here.
Og hvad så?	So what?
Jeg ville gerne have et værelse med aircondition.	I would like an air-conditioned room.
Ammer du ham, eller får han flaske?	Do you breastfeed or bottlefeed him?
Din fortælling er kedelig.	Your story is boring.
Vores hud er dækket med talg, en naturlig fugtighedsbevarende olie.	Our skin is coated with sebum, a natural moisturizing oil.
Jeg har aldrig kysset en pige.	I've never kissed a girl.
Pindsvinet gemmer sit hoved.	The hedgehog hides its head.
Jeg er Toms far.	I'm Tom's dad.
Hvor blev du af?" "Jeg tog hen til togstationen for at sige farvel til en ven."	"Where did you go?" "I went to the train station to see a friend off."
Vi lærer hele tiden.	We're always learning.
Min største frygt er at drukne.	My greatest fear is drowning.
Tom er i gang med læse en novellesamling.	Tom is reading a book of short stories.
Tom må snart være søvnig.	Tom must be getting sleepy.
Tom har en pizzaovn i sin baghave.	Tom has a pizza oven in his backyard.
Rygning beskadiger lungerne.	Smoking does damage your lungs.
Denne pude er for blød for mig.	This pillow is too soft for me.
Det er sjovt at spille baseball.	It is fun to play baseball.
Tom holder af at shitposte i sin fritid.	Tom loves to shitpost in his spare time.
Den lille pige boede i Brasilien.	The little girl lived in Brazil.
Jeg er sikker på at Tom er skyldig.	I'm sure that Tom is guilty.
Hvornår kommer du hjem?	When will you come home?
De planlægger at blive gift i morgen.	They plan to get married tomorrow.
Det skader ikke at spørge.	There's no harm in asking.
Du har stillet for mange spørgsmål.	You asked too many questions.
Mange har lavet den samme fejl.	Many people have made the same mistake.
Ann elsker chokolade mere end noget andet.	Ann loves chocolate more than anything.
Er der nogen der kender navnet på den afdøde?	Does anyone know the name of the deceased?
Jeg er din nabo.	I'm your neighbor.
Jeg har en guitar.	I have a guitar.
Jeg kan få fri juledag, men jeg skal arbejde juleaften.	I can get Christmas Day off, but I have work on Christmas Eve.
Lad os tage toget.	Let's take a train.
Hvad spurgte du hende om?	What did you ask her?
Fuglen er i himlen.	The bird is in heaven.
Tom vidste hvad Mary havde for.	Tom knew what Mary was planning to do.
Tom venter på at Mary ringer.	Tom is waiting for Mary to call.
Du har spildt din kaffe.	You've spilt your coffee.
Jeg vil aldrig nogensinde se hende igen.	I never want to see her again.
Stilhed er guld.	Silence is golden.
Hun synger falsk.	She sings out of tune.
"Mary?" hviskede Alice.	"Mary?" Alice whispered.
Jeg så månen over taget.	I saw the moon above the roof.
Jeg så en kat jage en hund.	I saw a cat chasing a dog.
Jeg ønsker at tale til dem alle.	I want to talk to all of them.
Baghjulet på min cykel er fladt.	The rear tire of my bicycle is flat.
Tom solgte sit hus.	Tom sold his house.
Servitricen har købt en ny mobiltelefon og hun har vist den til alle sine faste kunder.	The waitress bought a new cellphone and she's shown it to all her regular customers.
Jeg kan lide folkesange.	I like folk songs.
Vand er en væske.	Water is a liquid.
Lås døren!	Lock the door!
